Protocol;Message Length;Message Count;sleep;receivers;Total Time;Average
--------------------IVY------------------;;;;;;
IVY;5;5000;0;1;0.124639034;0.003602101
IVY;5;10000;0;1;0.197624207;0.001628418
IVY;5;15000;0;1;0.339105368;0.001314439
IVY;5;20000;0;1;0.624232769;0.001308385
IVY;5;25000;0;1;0.544191837;0.000782894
IVY;5;30000;0;1;;0.000954505
IVY;5;75000;0;1;1.881724119;0.001846026
IVY;5;100000;0;1;2.327814817;0.000789578
IVY;5;200000;0;1;;broadcast
IVY;5;300000;0;1;6.959542513;0.000672705
IVY;5;400000;0;1;9.231077909;0.000767865
IVY;5;500000;0;1;11.33427358;0.001077021
IVY;5;600000;0;1;14.29184341;0.001257321
IVY;5;700000;0;1;16.23150802;0.001024063
IVY;5;800000;0;1;18.29447961;0.00125213
IVY;5;900000;0;1;18.3332746;0.001239779
IVY;5;1000000;0;1;22.4727931;0.00139572
IVY;500;5000;0;1;0.132532597;0.002069513
IVY;500;10000;0;1;0.253979921;0.001583212
IVY;500;15000;0;1;0.399597645;0.000973034
IVY;500;20000;0;1;0.538314819;0.001802492
IVY;500;25000;0;1;0.608044147;0.001142744
IVY;500;30000;0;1;;0.000884511
IVY;500;75000;0;1;1.650070667;0.003023145
IVY;500;100000;0;1;2.335053682;0.001995053
IVY;500;200000;0;1;4.878125906;0.002530269
IVY;500;300000;0;1;7.291518211;0.002527424
IVY;500;400000;0;1;9.44073844;0.002857623
IVY;500;500000;0;1;11.6022656;0.003245174
IVY;500;600000;0;1;14.43987608;0.003761728
IVY;500;700000;0;1;16.39930439;0.003359833
IVY;500;800000;0;1;19.45158982;0.004617731
IVY;500;900000;0;1;20.33482575;0.003664833
IVY;500;1000000;0;1;23.51586127;0.004212186
IVY;1000;5000;0;1;0.153735399;0.001275317
IVY;1000;10000;0;1;0.279628515;0.000978387
IVY;1000;15000;0;1;0.438153267;0.000993674
IVY;1000;20000;0;1;0.508959055;0.000986996
IVY;1000;25000;0;1;0.634100199;0.000973517
IVY;1000;30000;0;1;0.826995134;0.001033227
IVY;1000;75000;0;1;1.973581553;0.002634282
IVY;1000;100000;0;1;2.740904808;0.002710384
IVY;1000;200000;0;1;5.051400423;0.00269232
IVY;1000;300000;0;1;7.633450031;0.002778608
IVY;1000;400000;0;1;10.7985754;0.002904033
IVY;1000;500000;0;1;;
IVY;1000;600000;0;1;14.99043393;0.004458232
IVY;1000;700000;0;1;18.78121901;0.003583249
IVY;1000;800000;0;1;21.65836596;0.004082232
IVY;1000;900000;0;1;23.6124258;0.004181981
IVY;1000;1000000;0;1;26.79281354;0.005065277
IVY;2000;5000;0;1;0.189115286;0.002195769
IVY;2000;10000;0;1;0.333867073;0.000950514
IVY;2000;15000;0;1;0.481514454;0.00329391
IVY;2000;20000;0;1;0.669145107;0.000912882
IVY;2000;25000;0;1;0.80943346;0.025568362
IVY;2000;30000;0;1;0.992577553;0.000904973
IVY;2000;75000;0;1;2.392452478;0.002560936
IVY;2000;100000;0;1;3.387391806;0.004760015
IVY;2000;200000;0;1;6.239771605;0.004456253
IVY;2000;300000;0;1;10.13642287;0.003547299
IVY;2000;400000;0;1;13.05678272;0.006512988
IVY;2000;500000;0;1;16.18504143;0.004699296
IVY;2000;600000;0;1;20.00485897;0.006003102
IVY;2000;700000;0;1;22.75769401;0.007806495
IVY;2000;800000;0;1;26.57793617;0.007576626
IVY;2000;900000;0;1;29.67662454;0.008190165
IVY;2000;1000000;0;1;33.57546902;0.005765451
IVY;3000;5000;0;1;0.203042984;0.001955087
IVY;3000;10000;0;1;0.395297289;0.002835739
IVY;3000;15000;0;1;0.595785856;0.027660176
IVY;3000;20000;0;1;0.80662775;0.001548817
IVY;3000;25000;0;1;;0.002102096
IVY;3000;30000;0;1;;0.022338774
IVY;3000;75000;0;1;;
IVY;3000;100000;0;1;;
IVY;3000;200000;0;1;7.572876692;0.015593422
IVY;3000;300000;0;1;11.49277282;0.020865514
IVY;3000;400000;0;1;15.42734647;0.033318945
IVY;3000;500000;0;1;18.85799837;0.046978728
IVY;3000;600000;0;1;;
IVY;3000;700000;0;1;27.73079014;0.016498714
IVY;3000;800000;0;1;;application
IVY;3000;900000;0;1;34.57320714;0.040787344
IVY;3000;1000000;0;1;38.88270521;0.02010743
--------------------ZeroMQ------------------;;;;;;
Envoi de batchs de messages sans sleep de 5 caractères avec zeromq;;;;;;
ZeroMQ;5;5000;0;1;0.129712105;0.000861345
ZeroMQ;5;10000;0;1;0.109422922;0.000209052
ZeroMQ;5;15000;0;1;0.294519186;0.000140438
ZeroMQ;5;20000;0;1;0.346635103;0.00011149
ZeroMQ;5;25000;0;1;0.276700258;0.00116288
ZeroMQ;5;30000;0;1;0.385515451;0.00029397
ZeroMQ;5;75000;0;1;0.903837919;0.001526244
ZeroMQ;5;100000;0;1;1.24668932;0.00120237
ZeroMQ;5;200000;0;1;2.467768908;0.001428842
ZeroMQ;5;300000;0;1;3.757043362;0.000930928
ZeroMQ;5;400000;0;1;4.903434753;0.001525569
ZeroMQ;5;500000;0;1;6.952224016;0.001684173
ZeroMQ;5;600000;0;1;7.132978201;0.002921882
ZeroMQ;5;700000;0;1;8.789398432;0.001561342
ZeroMQ;5;800000;0;1;9.094661474;0.002081184
ZeroMQ;5;900000;0;1;11.02425289;0.001880657
ZeroMQ;5;1000000;0;1;12.19763184;0.002773901
Envoi de batchs de messages sans sleep de 500 caractères avec zeromq;;;;;;
ZeroMQ;500;5000;0;1;0.06575036;0.000160609
ZeroMQ;500;10000;0;1;0.159622669;0.000172578
ZeroMQ;500;15000;0;1;0.18634367;0.001124503
ZeroMQ;500;20000;0;1;0.31248641;0.000128521
ZeroMQ;500;25000;0;1;0.320038319;0.000422767
ZeroMQ;500;30000;0;1;0.422286272;0.000225037
ZeroMQ;500;75000;0;1;0.869382381;0.002059463
ZeroMQ;500;100000;0;1;1.226822376;0.001926071
ZeroMQ;500;200000;0;1;2.491458178;0.00149478
ZeroMQ;500;300000;0;1;3.703014851;0.001678246
ZeroMQ;500;400000;0;1;4.774243355;0.002156325
ZeroMQ;500;500000;0;1;6.862019777;0.002992976
ZeroMQ;500;600000;0;1;7.54309988;0.005247163
ZeroMQ;500;700000;0;1;8.804079533;0.002969611
ZeroMQ;500;800000;0;1;10.38950038;0.003716627
ZeroMQ;500;900000;0;1;11.28015471;0.004881524
ZeroMQ;500;1000000;0;1;12.57393837;0.004181791
Envoi de batchs de messages sans sleep de 1000 caractères avec zeromq;;;;;;
ZeroMQ;1000;5000;0;1;0.064001083;0.000133362
ZeroMQ;1000;10000;0;1;0.287668467;0.000320336
ZeroMQ;1000;15000;0;1;0.193339825;0.000172297
