Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,5000,0,1,0.07809090614318848,7.534928321838379e-05
IVY,5,10000,0,1,,application
IVY,5,15000,0,1,,application
IVY,5,20000,0,1,0.27757787704467773,5.212705135345459e-05
IVY,5,25000,0,1,0.3477938175201416,0.0005232982063293457
IVY,5,30000,0,1,0.4372689723968506,0.0004975762049357097
IVY,5,75000,0,1,,application
IVY,5,100000,0,1,1.3137919902801514,0.00018370375156402587
IVY,5,200000,0,1,,application
IVY,5,300000,0,1,4.027576208114624,0.000339881010055542
IVY,5,400000,0,1,5.302750825881958,0.0007346191585063934
IVY,5,500000,0,1,6.527817964553833,0.0006032856307029724
IVY,5,600000,0,1,8.394530057907104,0.000798051551580429
IVY,5,700000,0,1,9.444736957550049,0.0010146092901911054
IVY,5,800000,0,1,,application
IVY,5,900000,0,1,13.149899005889893,0.0013522977333598667
IVY,5,1000000,0,1,15.121224880218506,0.0011174741880893707
IVY,500,5000,0,1,0.12111210823059082,9.585399627685547e-05
IVY,500,10000,0,1,,application
IVY,500,15000,0,1,0.32559800148010254,8.198037147521972e-05
IVY,500,20000,0,1,0.4208660125732422,6.113861799240112e-05
IVY,500,25000,0,1,,application
IVY,500,30000,0,1,,application
IVY,500,75000,0,1,,application
IVY,500,100000,0,1,,application
IVY,500,200000,0,1,4.085669040679932,0.00033863892912864684
IVY,500,300000,0,1,6.390503168106079,0.0009994604015350341
IVY,500,400000,0,1,8.855554103851318,0.0008706859004497528
IVY,500,500000,0,1,,application
IVY,500,600000,0,1,12.970520734786987,0.0010857403429349263
IVY,500,700000,0,1,15.572795152664185,0.001479308261871338
IVY,500,800000,0,1,17.61662268638611,0.0009319549024105072
IVY,500,900000,0,1,20.497366189956665,0.0018486798365910848
IVY,500,1000000,0,1,21.662872791290283,0.0019458152215480805
IVY,1000,5000,0,1,,application
IVY,1000,10000,0,1,0.23523306846618652,8.141512870788574e-05
IVY,1000,15000,0,1,0.7827029228210449,0.01124936785697937
IVY,1000,20000,0,1,0.5048840045928955,8.861277103424072e-05
IVY,1000,25000,0,1,0.6495528221130371,0.0007894081783294677
IVY,1000,30000,0,1,0.7686798572540283,0.0009273657957712809
IVY,1000,75000,0,1,2.539095163345337,0.0011518458970387778
IVY,1000,100000,0,1,3.3508217334747314,0.0005785198140144348
IVY,1000,200000,0,1,6.862215042114258,0.0005513907372951507
IVY,1000,300000,0,1,8.283873081207275,0.0006768183573087057
IVY,1000,400000,0,1,11.521506786346436,0.0007565892386436462
